Id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
2487,F,0.6300,0.5100,0.1850,1.2350,0.5115,0.3490,0.3065,11
71,F,0.4000,0.3200,0.1100,0.3530,0.1405,0.0985,0.1000,8
1832,I,0.3900,0.3100,0.1050,0.2665,0.1185,0.0525,0.0810,8
3184,F,0.6700,0.5450,0.1750,1.7070,0.6995,0.3870,0.5750,13
3970,I,0.3850,0.2850,0.0900,0.2480,0.0935,0.0660,0.0700,6
2306,F,0.6500,0.5000,0.1650,1.1445,0.4850,0.2180,0.3650,12
169,F,0.6800,0.5150,0.1750,1.6185,0.5125,0.4090,0.6200,12
2473,F,0.6150,0.4700,0.1750,1.2985,0.5135,0.3430,0.3200,14
2183,M,0.4950,0.4000,0.1550,0.8085,0.2345,0.1155,0.3500,6
2013,M,0.4700,0.3650,0.1350,0.5220,0.2395,0.1525,0.1450,10
951,M,0.4800,0.3600,0.1000,0.4390,0.1940,0.0990,0.1150,8
1128,F,0.5600,0.4400,0.1550,0.6405,0.3360,0.1765,0.2450,8
1761,M,0.7500,0.5950,0.2050,2.2205,1.0830,0.4210,0.6300,12
648,I,0.4600,0.3500,0.1200,0.4885,0.1930,0.1050,0.1550,11
2351,M,0.5900,0.4750,0.1600,0.9455,0.3815,0.1840,0.2700,19
871,F,0.6200,0.5050,0.1600,1.3725,0.6285,0.2750,0.3685,11
2287,F,0.3850,0.3050,0.1050,0.3315,0.1365,0.0745,0.1000,7
3813,I,0.3500,0.2600,0.0950,0.2210,0.0985,0.0430,0.0700,8
97,M,0.4700,0.3750,0.1300,0.5230,0.2140,0.1320,0.1450,8
2038,I,0.2800,0.2150,0.0800,0.1320,0.0720,0.0220,0.0330,5
1544,I,0.3700,0.2700,0.0950,0.2175,0.0970,0.0460,0.0650,6
159,F,0.5750,0.4600,0.1650,1.1240,0.2985,0.1785,0.4400,13
368,M,0.6300,0.4900,0.1800,1.1300,0.4580,0.2765,0.3150,12
1949,M,0.6400,0.5300,0.1650,1.1895,0.4765,0.3000,0.3500,11
1713,M,0.6450,0.5000,0.1750,1.3375,0.5540,0.3080,0.4150,10
3080,M,0.7100,0.5600,0.1750,1.7240,0.5660,0.4575,0.4625,13
2293,I,0.3400,0.2600,0.0900,0.1790,0.0760,0.0525,0.0550,6
1736,F,0.6700,0.5200,0.1900,1.3200,0.5235,0.3095,0.4275,13
3339,F,0.5850,0.4750,0.1850,0.8575,0.3465,0.1785,0.2750,12
553,I,0.4800,0.3700,0.1200,0.5140,0.2075,0.1310,0.1550,13
1240,I,0.3800,0.2750,0.1100,0.2560,0.1100,0.0535,0.0755,6
2981,F,0.5050,0.3800,0.1300,0.6930,0.3910,0.1195,0.1515,8
2692,M,0.6500,0.5150,0.1250,1.1805,0.5235,0.2830,0.3275,9
1547,I,0.3800,0.2900,0.1000,0.2370,0.1080,0.0395,0.0820,6
559,I,0.5200,0.4000,0.1450,0.6600,0.2670,0.1055,0.2200,13
1657,M,0.6000,0.4800,0.1650,0.9165,0.4135,0.1965,0.2725,9
4027,I,0.3650,0.2700,0.0900,0.2155,0.1005,0.0490,0.0655,6
1763,M,0.7750,0.6300,0.2500,2.7795,1.3485,0.7600,0.5780,12
3667,F,0.5850,0.4200,0.1550,1.0340,0.4370,0.2225,0.3200,11
316,F,0.6350,0.5350,0.1900,1.2420,0.5760,0.2475,0.3900,14
3014,I,0.3950,0.3000,0.0900,0.2530,0.1155,0.0500,0.0750,6
1644,M,0.5800,0.4600,0.1550,1.0335,0.4690,0.2225,0.2950,10
1478,M,0.5750,0.4650,0.1500,1.0800,0.5950,0.2065,0.2380,9
1504,F,0.6350,0.5050,0.1450,1.1345,0.5050,0.2655,0.3150,10
1427,F,0.7500,0.6100,0.2350,2.5085,1.2320,0.5190,0.6120,14
299,M,0.3700,0.2800,0.1050,0.2340,0.0905,0.0585,0.0750,9
3829,F,0.7100,0.5550,0.1700,1.4700,0.5375,0.3800,0.4310,12
616,F,0.4700,0.3550,0.1400,0.4330,0.1525,0.0950,0.1520,12
2622,F,0.7000,0.5750,0.2050,1.7975,0.7295,0.3935,0.5165,13
5,I,0.4250,0.3000,0.0950,0.3515,0.1410,0.0775,0.1200,8
1246,I,0.3900,0.3000,0.0950,0.3265,0.1665,0.0575,0.0890,7
3084,I,0.2300,0.1700,0.0500,0.0570,0.0260,0.0130,0.0160,5
2833,F,0.5400,0.4150,0.1500,0.8115,0.3875,0.1875,0.2035,9
369,F,0.6900,0.5600,0.2150,1.7190,0.6800,0.2990,0.4700,17
4142,M,0.6550,0.5250,0.1800,1.4020,0.6240,0.2935,0.3650,13
1564,I,0.4600,0.3500,0.1100,0.4000,0.1760,0.0830,0.1205,7
211,M,0.3350,0.2500,0.0900,0.1810,0.0755,0.0415,0.0600,7
1127,M,0.5600,0.4450,0.1600,0.8965,0.4200,0.2175,0.2215,8
1569,I,0.4750,0.3600,0.1450,0.6325,0.2825,0.1370,0.1900,8
1420,F,0.7100,0.5500,0.1700,1.6140,0.7430,0.3450,0.4500,11
2104,F,0.4900,0.3850,0.1250,0.5395,0.2175,0.1280,0.1650,11
3382,M,0.4950,0.4000,0.1200,0.6605,0.2605,0.1610,0.1900,15
3424,M,0.6400,0.5100,0.1700,1.3715,0.5670,0.3070,0.4090,10
1160,F,0.6050,0.4750,0.1650,1.0560,0.4330,0.2195,0.3570,9
940,I,0.4600,0.3450,0.1050,0.4490,0.1960,0.0945,0.1265,7
2688,M,0.6300,0.4650,0.1500,1.0270,0.5370,0.1880,0.1760,8
1948,M,0.6350,0.5150,0.1650,1.2290,0.5055,0.2975,0.3535,10
713,M,0.3550,0.2650,0.0850,0.2010,0.0690,0.0530,0.0695,8
3743,F,0.7050,0.5550,0.1950,1.7525,0.7105,0.4215,0.5160,12
2462,M,0.4400,0.3250,0.0800,0.4130,0.1440,0.1015,0.1300,8
361,F,0.5900,0.4650,0.1500,0.9970,0.3920,0.2460,0.3400,12
1519,M,0.6700,0.5100,0.1750,1.5265,0.6510,0.4475,0.3450,10
1606,I,0.5400,0.4250,0.1300,0.7205,0.2955,0.1690,0.2250,10
3478,I,0.4350,0.3350,0.1100,0.4110,0.2025,0.0945,0.1000,7
779,F,0.4700,0.3600,0.1450,0.5370,0.1725,0.1375,0.1950,15
3020,I,0.4500,0.3400,0.1250,0.4045,0.1710,0.0700,0.1345,8
890,F,0.6950,0.5600,0.2200,1.8340,0.8455,0.4220,0.4550,11
796,M,0.5300,0.4100,0.1550,0.7155,0.2805,0.1685,0.2140,11
1530,M,0.7500,0.5500,0.1800,1.8930,0.9420,0.3970,0.4450,11
3433,I,0.3650,0.2700,0.1050,0.2155,0.0915,0.0475,0.0630,6
1254,I,0.4250,0.3250,0.1100,0.3335,0.1730,0.0450,0.1000,7
3658,I,0.5350,0.4500,0.1550,0.8075,0.3655,0.1480,0.2595,10
519,F,0.3450,0.2500,0.0900,0.2030,0.0780,0.0590,0.0550,6
1867,I,0.5250,0.4150,0.1200,0.5960,0.2805,0.1200,0.1695,9
1972,M,0.6800,0.5400,0.1900,1.6230,0.7165,0.3540,0.4715,12
936,I,0.4500,0.3350,0.1050,0.4470,0.2335,0.1530,0.1190,7
351,F,0.5850,0.4500,0.1700,0.8685,0.3325,0.1635,0.2700,22
2638,I,0.4600,0.3450,0.1100,0.3755,0.1525,0.0580,0.1250,7
3715,M,0.7800,0.6000,0.2100,2.5480,1.1945,0.5745,0.6745,11
3517,F,0.7000,0.5600,0.1750,1.6605,0.8605,0.3275,0.3980,11
4170,M,0.5500,0.4300,0.1300,0.8395,0.3155,0.1955,0.2405,10
2858,M,0.6950,0.5400,0.1950,1.6910,0.7680,0.3630,0.4755,11
1015,F,0.6250,0.4850,0.2000,1.3800,0.5845,0.3020,0.4010,9
2308,M,0.4550,0.3550,0.1300,0.5150,0.2000,0.1275,0.1750,11
1473,F,0.5500,0.4300,0.1400,0.8400,0.3750,0.2180,0.1945,8
744,M,0.5300,0.4150,0.1300,0.8425,0.2750,0.1945,0.2650,20
686,F,0.5350,0.4000,0.1500,0.8045,0.3345,0.2125,0.2100,13
1428,F,0.8150,0.6500,0.2500,2.2550,0.8905,0.4200,0.7975,14
677,F,0.5000,0.3750,0.1150,0.5945,0.1850,0.1480,0.1900,11
3593,F,0.6550,0.5300,0.1650,1.2835,0.5830,0.1255,0.4000,8
725,F,0.4900,0.3600,0.1100,0.5005,0.1610,0.1070,0.1950,17
3340,I,0.5400,0.4350,0.1450,0.9700,0.4285,0.2200,0.2640,17
3135,M,0.4600,0.3500,0.1250,0.5165,0.1885,0.1145,0.1850,9
1290,I,0.5150,0.3800,0.1200,0.6250,0.3265,0.1295,0.1600,7
2378,I,0.4150,0.3250,0.1150,0.3285,0.1405,0.0510,0.1060,12
2025,F,0.5500,0.4700,0.1500,0.9205,0.3810,0.2435,0.2675,10
3723,I,0.4700,0.3550,0.1200,0.4915,0.1765,0.1125,0.1325,9
1037,M,0.6600,0.5350,0.1900,1.5905,0.6425,0.2970,0.5175,9
3737,M,0.6250,0.4700,0.1500,1.1240,0.5560,0.2315,0.2870,9
1649,I,0.5900,0.4500,0.1450,1.0220,0.4280,0.2680,0.2650,10
1752,M,0.7100,0.5600,0.2200,2.0150,0.9215,0.4540,0.5660,11
458,I,0.4150,0.3100,0.1100,0.2965,0.1230,0.0570,0.0995,10
1487,M,0.6000,0.4550,0.1550,0.9450,0.4365,0.2085,0.2500,8
955,M,0.4950,0.3950,0.1350,0.6335,0.3035,0.1295,0.1495,8
924,I,0.4250,0.3150,0.1000,0.3770,0.1645,0.0720,0.1050,6
2669,M,0.5900,0.4700,0.1500,0.8610,0.4130,0.1640,0.2490,8
2631,I,0.3750,0.2900,0.1000,0.2190,0.0925,0.0380,0.0750,6
338,M,0.6200,0.4750,0.1850,1.3250,0.6045,0.3250,0.3300,13
2895,I,0.5400,0.4150,0.1100,0.6190,0.2755,0.1500,0.1765,10
2399,F,0.5300,0.4300,0.1700,0.7750,0.3500,0.1520,0.2350,17
719,I,0.1500,0.1000,0.0250,0.0150,0.0045,0.0040,0.0050,2
2889,I,0.5200,0.4000,0.1100,0.5970,0.2935,0.1155,0.1600,8
305,I,0.2000,0.1450,0.0600,0.0370,0.0125,0.0095,0.0110,4
2019,I,0.5100,0.4550,0.1350,0.6855,0.2875,0.1540,0.2035,9
3862,M,0.4750,0.3700,0.1250,0.6550,0.2660,0.1725,0.1850,10
2872,I,0.4000,0.3150,0.0900,0.3245,0.1510,0.0730,0.0880,8
376,M,0.6300,0.4900,0.1900,1.1775,0.4935,0.3365,0.2850,11
1513,M,0.6500,0.4850,0.1400,1.1750,0.4750,0.2435,0.2150,8
1242,I,0.3850,0.2900,0.0900,0.2615,0.1110,0.0595,0.0745,9
3765,I,0.5350,0.4500,0.1350,0.7280,0.2845,0.1845,0.2650,9
2033,M,0.6100,0.4900,0.1600,1.1120,0.4650,0.2280,0.3410,10
1944,F,0.6350,0.5200,0.1650,1.3405,0.5065,0.2960,0.4120,11
1032,M,0.6500,0.5200,0.2100,1.6785,0.6665,0.3080,0.4600,11
2777,I,0.5850,0.4200,0.1450,0.6735,0.2895,0.1345,0.2200,9
1368,M,0.6100,0.4600,0.1600,1.0000,0.4940,0.1970,0.2750,10
793,M,0.5750,0.4500,0.1650,0.9215,0.3275,0.2250,0.2560,12
3175,I,0.5100,0.4050,0.1200,0.6100,0.2290,0.1310,0.2350,11
2390,F,0.4550,0.3500,0.1250,0.4485,0.1585,0.1020,0.1335,16
628,I,0.5300,0.4150,0.1450,0.9440,0.3845,0.1850,0.2650,21
422,F,0.4900,0.3900,0.1350,0.5785,0.2465,0.1230,0.2000,13
330,M,0.5000,0.3800,0.1550,0.5955,0.2135,0.1610,0.2000,12
3732,F,0.5750,0.4200,0.1900,1.7640,0.9140,0.3770,0.4095,10
1256,I,0.4250,0.3100,0.0900,0.3010,0.1385,0.0650,0.0800,7
1962,F,0.6550,0.5250,0.1750,1.3480,0.5855,0.2605,0.3940,10
1590,I,0.5200,0.3900,0.1300,0.5545,0.2355,0.1095,0.1895,7
3099,M,0.5750,0.4800,0.1500,0.9465,0.4355,0.2605,0.2505,9
3352,F,0.5200,0.4050,0.1450,0.8290,0.3535,0.1685,0.2050,15
1150,M,0.5850,0.4600,0.1450,0.9335,0.4780,0.1825,0.2350,9
2864,I,0.3100,0.2300,0.0700,0.1245,0.0505,0.0265,0.0380,6
710,I,0.3250,0.2500,0.0800,0.1760,0.0595,0.0355,0.0630,7
1101,I,0.5000,0.3800,0.1250,0.5190,0.2485,0.1135,0.1340,8
3473,I,0.2100,0.1500,0.0550,0.0455,0.0200,0.0065,0.0130,4
2677,F,0.6150,0.4750,0.1700,1.0550,0.5430,0.2460,0.2345,9
2795,M,0.6300,0.4700,0.1500,1.1355,0.5390,0.2325,0.3115,12
3119,F,0.5250,0.4000,0.1350,0.7140,0.3180,0.1380,0.2080,10
1013,F,0.6250,0.4750,0.1750,1.1435,0.4755,0.2475,0.3490,10
493,M,0.6550,0.5300,0.1750,1.2635,0.4860,0.2635,0.4150,15
2342,I,0.2550,0.1850,0.0700,0.0750,0.0280,0.0180,0.0250,6
2095,M,0.4150,0.3000,0.1000,0.3355,0.1545,0.0685,0.0950,7
2216,I,0.3300,0.2600,0.0800,0.1900,0.0765,0.0385,0.0650,7
3934,I,0.2350,0.1750,0.0800,0.0645,0.0215,0.0175,0.0215,5
1503,F,0.6300,0.4900,0.2250,1.3360,0.6805,0.2590,0.3245,10
4091,M,0.6250,0.5000,0.1800,1.3705,0.6450,0.3030,0.3705,12
175,I,0.3600,0.2600,0.0900,0.1785,0.0645,0.0370,0.0750,7
981,F,0.5500,0.4300,0.1400,0.8105,0.3680,0.1610,0.2750,9
2443,F,0.4450,0.3350,0.1400,0.4565,0.1785,0.1140,0.1400,11
826,I,0.3950,0.2900,0.0950,0.3040,0.1270,0.0840,0.0770,6
3574,F,0.6000,0.4700,0.1700,1.0805,0.4995,0.2245,0.3205,9
3750,I,0.4350,0.3750,0.1100,0.4155,0.1700,0.0760,0.1450,8
2103,M,0.3750,0.2900,0.1000,0.2760,0.1175,0.0565,0.0850,9
2300,F,0.4800,0.4050,0.1300,0.6375,0.2770,0.1445,0.2100,10
2886,M,0.5050,0.3650,0.1150,0.5210,0.2500,0.0960,0.1500,8
764,F,0.6100,0.4700,0.1450,1.1530,0.4030,0.2960,0.3200,14
3905,M,0.3800,0.2700,0.0950,0.2190,0.0835,0.0515,0.0700,6
1203,F,0.7300,0.5750,0.1850,1.8795,0.9310,0.3800,0.4825,12
3805,M,0.4250,0.3050,0.1100,0.3590,0.1730,0.0875,0.0975,9
1284,I,0.5000,0.4100,0.1400,0.6615,0.2585,0.1625,0.1960,9
1047,F,0.7050,0.5350,0.1800,1.6850,0.6930,0.4200,0.4045,12
864,M,0.6000,0.4950,0.1750,1.2900,0.6060,0.2760,0.3445,11
674,F,0.4900,0.3850,0.1500,0.7865,0.2410,0.1400,0.2400,23
1647,F,0.5850,0.4450,0.1400,0.9130,0.4305,0.2205,0.2530,10
1367,M,0.6100,0.4800,0.1700,1.1370,0.4565,0.2900,0.3470,10
3599,M,0.7350,0.5550,0.2200,2.3330,1.2395,0.3645,0.6195,12
1540,I,0.3600,0.2700,0.0950,0.2000,0.0730,0.0560,0.0610,8
3053,F,0.6000,0.4500,0.1400,0.8690,0.3425,0.1950,0.2910,11
3045,F,0.5800,0.4350,0.1550,0.8785,0.4250,0.1685,0.2425,10
427,M,0.6000,0.5000,0.1600,1.0150,0.3995,0.1735,0.3300,19
2697,M,0.6600,0.5150,0.1650,1.4465,0.6940,0.2980,0.3755,10
